address,price,bedrooms,bathrooms,property_type,area,county,features,date_of_construction
"Edenmore House, Ballybofey, Co. Donegal, F93EE61",1950000,5,3,Detached,ballybofey-donegal,Donegal,"36.33 Ha (90 Acres) approximately., Borders the River Finn., Extensive road frontage., Separate access to the lands with extensive road frontage for easy access., Fishing rights., Potential to renovate the rear three storey return., Potential to let the land., Long, sweeping driveway with lush grounds and mature trees., Enclosed front lawn with mature hedging and bushes., Full-size, enclosed tarmac tennis court.",0
"18 Saint Endas Avenue, Tuam, Tuam, Co. Galway, H54WR65",150000,3,1,Semi-D,tuam-galway,Galway,"Qualifies for Substantial Grants of up to 70,000 Euro, Centrally Located, Great value Home, Just a Short Stroll to Tuam Town Centre, 30 Minutes to Galway City, 2 Minutes to the Motorway, High Speed Broadband Available , Excellent Potential ",1950
"10 Inis Alainn, Fiddown, Co. Kilkenny, E32WD30",240000,3,3,Detached,fiddown-kilkenny,Kilkenny,"Oil fired central heating, Two garden sheds, Solar panels, Immaculate condition, Small private estate",2007
"73 Woodfield, Cappagh Road, Knocknacarra, Co. Galway, H91WDN0",380000,4,2,"End of Terrace",knocknacarra-galway,Galway,"4 bed end of terrace over 3 storeys, No management fees, OFCH & double glazed windows, Ample off street parking to front, Communal rear garden with access to shed, Overlooks a large green area to front, Close to several schools, restaurants & retail parks, Excellent bus service to & from Galway City, Easy access to Galway City, Salthill & Barna, Minutes from Barna Woods, Cappagh Pk & Rusheen Bay",1995
"70 The Green, College Road, Galway City Centre, H91XTY4",450000,4,3,Semi-D,N/A,N/A,"Exceptionally Well Located , Spacious Accommodation , Move-In Ready, Owner Occupied , Never Rented",1990
"Montpelier, 64 Orwell Park, Rathgar, Dublin 6, D06X4E6",3750000,6,3,Detached,rathgar-dublin,Dublin,,0
"Stonebridge Farmhouse, Ahacross, Kildorrery, Co. Cork, P67R963",410000,4,3,Detached,kildorrery-cork,Cork,"Large site with tarmacadam driveway, Turn-key property, B2 Energy Rating/Solar panells, Pressurized water system, OFCH, Electric gates, Block Built Shed, 5 minute commute from Kildorrery village, 10 minute commute from Mitchelstown and the M8 motorway., 35 minute commute to the Jack Lynch Tunnell",2007
"Crooke, Passage East, Co. Waterford, X91XR92",1100000,4,4,Detached,passage-east-waterford,Waterford,"Stunning 4/5 bedroom detached coastal residence on a cica 20-acres site., Unparalleled panoramic views of the Suit Estuary., Architect designed by Niall Harrington., Boasting c. 2.676 sq.ft. of living space., Nestles on the outskirts of Passage East with Woodstown Beach is just 1km awa.",0
"Gardenfield, H54A990",290000,3,1,Detached,tuam-galway,Galway,"Gardenfield- much sought after address, Potential to extend, Two minutes drive to Tuam bypass and motorway, Renovated home presented in turnkey condition, New double glazed uPVC windows, New oil fired central heating boiler, Renovated bathroom, Outbuilding / Garage / shed to include 3 no. stables., High speed broadband available, Scenic location",1956
"52a Hollyville Mews, Grange, Grange, Co. Cork, T12C3V7",325000,3,1,Semi-D,grange-cork,Cork,"High quailty herring bone flooring throughout the downstairs , Newly fitted bathroom , Redecorated from top to bottom recently, Adjacent to Douglas Village, Perfect home ready to be lived in",0
"16 Renmore Road, Renmore, Co. Galway, H91XVX4",0,3,2,Apartment,renmore-galway,Galway,"RETAIL UNIT - D2 - 801026220 - 527.72 kWh/m2/yr., 57 sq.m. (613.55 sq.ft.) approx., APARTMENT - C1 - 104129952 - 171.32 kWh/mÂ²/yr., 92.34sq.m. (993 sqft.) approx., Rewired and new heating condenser boiler., Apartment was registered with RTB., Vacant since January 2024., You Must Pre-Register on Our Website - With Bidder Security Fee Paid By - 5TH DECEMBER 2024.",1968
"Glenlucan Lodge, Glenlucan Court, Killarney Road, Bray, Co. Wicklow, A98E9X2",1100000,4,5,Detached,bray-wicklow,Wicklow,"Totally private.Not visible from the street, Pretty fairy tale well, Open-plan reception rooms ideal for entertaining, Home office plus four large ensuite bedrooms, Underfloor heating throughout on both floors, Solid Oak internal doors and staircase, Fibre broadband plus Satellite dish with octo LMB to all rooms, Electric car charging point, Electric gates, A2 BER rating",2018
"Bealach Ceart, 3 Seapoint, Barna, Co. Galway, H91Y8HF",595000,4,3,Detached,barna-galway,Galway,"Modern 4 bed detached home, Located in the heart of Barna Village, Presented in showhouse condition, Excellent A3 energy rating, Modern design and functionality throughout, Air-to-water heat pump & central heating system, South facing aspect to rear garden, Three parking spaces in adjacent development, Excellent local amenities within walking distance, Easy access to Galway City, Furbo, Spiddal & Connemara",2002
"63 Ravenswood, Carrick-on-Suir, Co. Tipperary, E32CC44",200000,3,3,Terrace,carrick-on-suir-tipperary,Tipperary,"PVC double glazed windows & doors, Gas fired central heating , Block built shed",0
"2 Gort An Aird, Gurteen, Bandon, Co. Cork, P72KW40",0,4,4,Detached,bandon-cork,Cork,"Air to water underfloor heating, Ducon slab on first floor, 0.50 acre site with detached garage, ICF Construction, Triple Glazed Windows, Fibre broadband",0
"33 Loch Eala, Lough Gowna, Co. Cavan, H12X389",495000,4,5,Detached,lough-gowna-cavan,Cavan,"BER A2, Stunning location beside Loch Eala, Interior design by Bree Hamilton, Four en-suite bedrooms, Detached home office in back garden, Cobblelock to front and back of property",2006
